Ticker,Score,Weight (%),Reason
MSFT,0.95,3,Strong liquidity and profitability; high interest coverage.
ADP,0.40,3,Strong liquidity and profitability; high interest coverage.
ADI,0.39,3,Strong liquidity and profitability; high interest coverage.
AVGO,0.38,3,Strong liquidity and profitability; high interest coverage.
MCHP,0.37,3,Strong liquidity and profitability; high interest coverage.
NXPI,0.36,3,Strong liquidity and profitability; high interest coverage.
MU,0.35,3,Strong liquidity and profitability; high interest coverage.
ON,0.34,3,Strong liquidity and profitability; high interest coverage.
MRVL,0.33,3,Strong liquidity and profitability; high interest coverage.
AMD,0.32,3,Strong liquidity and profitability; high interest coverage.
AMAT,0.31,3,Strong liquidity and profitability; high interest coverage.
TXN,0.30,3,Strong liquidity and profitability; high interest coverage.
QCOM,0.29,3,Strong liquidity and profitability; high interest coverage.
REGN,0.28,3,Strong liquidity and profitability; high interest coverage.
KLAC,0.27,3,Strong liquidity and profitability; high interest coverage.
LRCX,0.26,3,Strong liquidity and profitability; high interest coverage.
ISRG,0.25,3,Strong liquidity and profitability; high interest coverage.
IDXX,0.24,3,Strong liquidity and profitability; high interest coverage.
CDNS,0.23,3,Strong liquidity and profitability; high interest coverage.
SNPS,0.22,3,Strong liquidity and profitability; high interest coverage.
ADP,0.21,3,Strong liquidity and profitability; high interest coverage.
ADI,0.20,3,Strong liquidity and profitability; high interest coverage.
AVGO,0.19,3,Strong liquidity and profitability; high interest coverage.
MCHP,0.18,3,Strong liquidity and profitability; high interest coverage.
NXPI,0.17,3,Strong liquidity and profitability; high interest coverage.
MU,0.16,3,Strong liquidity and profitability; high interest coverage.
ON,0.15,3,Strong liquidity and profitability; high interest coverage.
MRVL,0.14,3,Strong liquidity and profitability; high interest coverage.
AMD,0.13,3,Strong liquidity and profitability; high interest coverage.
AMAT,0.12,3,Strong liquidity and profitability; high interest coverage.
TXN,0.11,3,Strong liquidity and profitability; high interest coverage.
QCOM,0.10,3,Strong liquidity and profitability; high interest coverage.
REGN,0.09,3,Strong liquidity and profitability; high interest coverage.
KLAC,0.08,3,Strong liquidity and profitability; high interest coverage.
LRCX,0.07,3,Strong liquidity and profitability; high interest coverage.
ISRG,0.06,3,Strong liquidity and profitability; high interest coverage.
IDXX,0.05,3,Strong liquidity and profitability; high interest coverage.
CDNS,0.04,3,Strong liquidity and profitability; high interest coverage.
SNPS,0.03,3,Strong liquidity and profitability; high interest coverage.
ADP,0.02,3,Strong liquidity and profitability; high interest coverage.
ADI,0.01,3,Strong liquidity and profitability; high interest coverage.
